"name","stockcode","percentage","size","standard_drinks","special","package","package_size","total_price","unit_price","cost_per_standard"
Stone's Alcoholic Ginger Beer 330mL,"203977",4.0,330.0,1.0,false,bottle,1,7.29,7.29,7.29
Stone's Alcoholic Ginger Beer 330mL,"203977",4.0,330.0,1.0,false,pack,4,24.99,6.25,6.25
Stone's Alcoholic Ginger Beer 330mL,"203977",4.0,330.0,1.0,false,case,24,116.99,4.87,4.87
Pirate Life Brewing California Pale Ale 355mL Cans,"204819",5.8,355.0,1.6,false,bottle,1,5.49,5.49,3.43
Pirate Life Brewing California Pale Ale 355mL Cans,"204819",5.8,355.0,1.6,true,pack,4,17.0,4.25,2.66
Pirate Life Brewing California Pale Ale 355mL Cans,"204819",5.8,355.0,1.6,false,pack,4,21.39,5.35,3.34
Pirate Life Brewing California Pale Ale 355mL Cans,"204819",5.8,355.0,1.6,false,case,16,61.99,3.87,2.42
Mountain Goat  Organic Steam Ale 375mL,"205547",4.5,375.0,1.3,false,bottle,1,5.49,5.49,4.22
Mountain Goat  Organic Steam Ale 375mL,"205547",4.5,375.0,1.3,false,pack,6,26.99,4.5,3.46
Mountain Goat  Organic Steam Ale 375mL,"205547",4.5,375.0,1.3,false,case,24,70.99,2.96,2.28
Little Creatures Little Hazy Lager Cans 375mL,"205637",3.5,375.0,1.04,false,bottle,1,5.99,5.99,5.76
Little Creatures Little Hazy Lager Cans 375mL,"205637",3.5,375.0,1.04,false,pack,4,18.49,4.62,4.44
Little Creatures Little Hazy Lager Cans 375mL,"205637",3.5,375.0,1.04,true,case,16,50.0,3.13,3.0
Little Creatures Little Hazy Lager Cans 375mL,"205637",3.5,375.0,1.04,false,case,16,52.99,3.31,3.18
Kirin Ichiban Bottle 330mL,"205776",5.0,330.0,1.3,false,bottle,1,5.99,5.99,4.61
Kirin Ichiban Bottle 330mL,"205776",5.0,330.0,1.3,false,pack,6,22.29,3.72,2.86
Kirin Ichiban Bottle 330mL,"205776",5.0,330.0,1.3,true,case,24,57.9,2.41,1.86
Kirin Ichiban Bottle 330mL,"205776",5.0,330.0,1.3,false,case,24,59.99,2.5,1.92
Nam Nam Alley Lager Can 500ml,"215860",4.5,500.0,1.8,false,bottle,1,5.99,5.99,3.33
Nam Nam Alley Lager Can 500ml,"215860",4.5,500.0,1.8,true,pack,4,15.0,3.75,2.08
Nam Nam Alley Lager Can 500ml,"215860",4.5,500.0,1.8,false,pack,4,19.49,4.87,2.71
Nam Nam Alley Lager Can 500ml,"215860",4.5,500.0,1.8,false,case,16,45.99,2.87,1.6
Great Northern Brewing Co Original Cans 375mL,"217037",4.2,375.0,1.2,false,bottle,1,5.99,5.99,4.99
Great Northern Brewing Co Original Cans 375mL,"217037",4.2,375.0,1.2,false,case,30,62.95,2.1,1.75
Hawke's Brewing Co. Lager Cans 375mL,"21904",4.2,375.0,1.2,false,bottle,1,4.49,4.49,3.74
Hawke's Brewing Co. Lager Cans 375mL,"21904",4.2,375.0,1.2,true,pack,6,18.0,3.0,2.5
Hawke's Brewing Co. Lager Cans 375mL,"21904",4.2,375.0,1.2,false,pack,6,19.99,3.33,2.78
Hawke's Brewing Co. Lager Cans 375mL,"21904",4.2,375.0,1.2,true,case,24,55.0,2.29,1.91
Hawke's Brewing Co. Lager Cans 375mL,"21904",4.2,375.0,1.2,false,case,24,59.99,2.5,2.08
Peroni Nastro Azzurro Bottles 330mL,"225756",5.0,330.0,1.3,false,bottle,1,5.99,5.99,4.61
Peroni Nastro Azzurro Bottles 330mL,"225756",5.0,330.0,1.3,false,pack,6,21.99,3.66,2.82
Peroni Nastro Azzurro Bottles 330mL,"225756",5.0,330.0,1.3,false,case,24,55.95,2.33,1.79
Shark Island Brewing Company Sandshoes XPA Can 375mL,"226143",4.5,375.0,1.3,false,bottle,1,5.25,5.25,4.04
Shark Island Brewing Company Sandshoes XPA Can 375mL,"226143",4.5,375.0,1.3,false,pack,4,22.99,5.75,4.42
Shark Island Brewing Company Sandshoes XPA Can 375mL,"226143",4.5,375.0,1.3,false,case,16,72.99,4.56,3.51
Brookvale Union Ginger Beer Low Sugar Cans 6x330mL,"226439",4.0,330.0,1.0,false,bottle,1,6.99,6.99,6.99
Brookvale Union Ginger Beer Low Sugar Cans 6x330mL,"226439",4.0,330.0,1.0,true,pack,6,28.95,4.83,4.83
Brookvale Union Ginger Beer Low Sugar Cans 6x330mL,"226439",4.0,330.0,1.0,false,pack,6,29.99,5.0,5.0
Brookvale Union Ginger Beer Low Sugar Cans 6x330mL,"226439",4.0,330.0,1.0,false,case,24,96.99,4.04,4.04
Monsuta Okinawa Premium Draft Can 500mL,"228924",5.0,500.0,2.0,false,bottle,1,4.99,4.99,2.5
Monsuta Okinawa Premium Draft Can 500mL,"228924",5.0,500.0,2.0,false,pack,6,25.99,4.33,2.17
Monsuta Okinawa Premium Draft Can 500mL,"228924",5.0,500.0,2.0,false,case,24,75.99,3.17,1.58
Carlsberg Green Lager Bottles 330mL,"23097",4.8,330.0,1.3,false,bottle,1,5.49,5.49,4.22
Carlsberg Green Lager Bottles 330mL,"23097",4.8,330.0,1.3,false,pack,6,21.49,3.58,2.76
Carlsberg Green Lager Bottles 330mL,"23097",4.8,330.0,1.3,false,case,24,52.99,2.21,1.7
Carlsberg Elephant Lager 330mL,"23100",7.2,330.0,1.9,false,bottle,1,5.49,5.49,2.89
Carlsberg Elephant Lager 330mL,"23100",7.2,330.0,1.9,false,pack,6,27.99,4.67,2.46
Carlsberg Elephant Lager 330mL,"23100",7.2,330.0,1.9,false,case,24,81.99,3.42,1.8
Sudo Lager Can 350mL,"231424",5.0,350.0,1.3,false,bottle,1,4.99,4.99,3.84
Sudo Lager Can 350mL,"231424",5.0,350.0,1.3,true,pack,6,16.0,2.67,2.05
Sudo Lager Can 350mL,"231424",5.0,350.0,1.3,false,pack,6,21.49,3.58,2.76
Sudo Lager Can 350mL,"231424",5.0,350.0,1.3,false,case,24,61.99,2.58,1.99
Vasto Cerveza Bttle 6x330ml,"232656",4.5,330.0,1.2,false,bottle,1,4.49,4.49,3.74
Vasto Cerveza Bttle 6x330ml,"232656",4.5,330.0,1.2,false,pack,6,19.99,3.33,2.78
Vasto Cerveza Bttle 6x330ml,"232656",4.5,330.0,1.2,false,case,24,47.99,2.0,1.67
Young Henrys Hazy Pale Ale 375mL,"233839",5.2,375.0,1.5,false,bottle,1,5.49,5.49,3.66
Young Henrys Hazy Pale Ale 375mL,"233839",5.2,375.0,1.5,true,pack,4,15.5,3.88,2.58
Young Henrys Hazy Pale Ale 375mL,"233839",5.2,375.0,1.5,false,pack,4,19.49,4.87,3.25
Young Henrys Hazy Pale Ale 375mL,"233839",5.2,375.0,1.5,false,case,16,62.99,3.94,2.62
OBrien Pale Ale Can 6x375mL,"236125",4.5,375.0,1.3,false,bottle,1,3.99,3.99,3.07
OBrien Pale Ale Can 6x375mL,"236125",4.5,375.0,1.3,false,pack,6,22.99,3.83,2.95
OBrien Pale Ale Can 6x375mL,"236125",4.5,375.0,1.3,false,case,24,70.99,2.96,2.28
James Squire James Squire Broken Shackles Lager 330mL Bottle,"238255",4.6,330.0,1.2,false,bottle,1,4.99,4.99,4.16
James Squire James Squire Broken Shackles Lager 330mL Bottle,"238255",4.6,330.0,1.2,false,pack,6,24.49,4.08,3.4
James Squire James Squire Broken Shackles Lager 330mL Bottle,"238255",4.6,330.0,1.2,false,case,24,60.99,2.54,2.12
James Squire Lashes Pale Ale Btl 330ml,"238530",4.2,330.0,1.1,false,bottle,1,5.49,5.49,4.99
James Squire Lashes Pale Ale Btl 330ml,"238530",4.2,330.0,1.1,false,pack,6,24.49,4.08,3.71
James Squire Lashes Pale Ale Btl 330ml,"238530",4.2,330.0,1.1,true,case,24,54.9,2.29,2.08
James Squire Lashes Pale Ale Btl 330ml,"238530",4.2,330.0,1.1,false,case,24,59.99,2.5,2.27
Carlton Draught Longnecks 750mL,"24284",4.6,750.0,2.7,false,bottle,1,7.99,7.99,2.96
Carlton Draught Longnecks 750mL,"24284",4.6,750.0,2.7,true,pack,3,18.0,6.0,2.22
Carlton Draught Longnecks 750mL,"24284",4.6,750.0,2.7,false,pack,3,21.99,7.33,2.71
Carlton Draught Longnecks 750mL,"24284",4.6,750.0,2.7,false,case,12,70.99,5.92,2.19
XXXX Gold Cans 30 Block 375mL,"24405",3.5,375.0,1.0,true,bottle,1,54.9,54.9,54.9
XXXX Gold Cans 30 Block 375mL,"24405",3.5,375.0,1.0,false,bottle,1,57.99,57.99,57.99
XXXX Gold Lager Bottle 375ml,"24446",3.5,375.0,1.0,false,bottle,1,4.49,4.49,4.49
XXXX Gold Lager Bottle 375ml,"24446",3.5,375.0,1.0,false,pack,6,20.49,3.41,3.41
XXXX Gold Lager Bottle 375ml,"24446",3.5,375.0,1.0,true,case,24,46.95,1.96,1.96
XXXX Gold Lager Bottle 375ml,"24446",3.5,375.0,1.0,false,case,24,52.99,2.21,2.21
Sierra Nevada Pale Ale Draught Style Can 355mL,"24773",5.0,355.0,1.4,false,bottle,1,7.49,7.49,5.35
Sierra Nevada Pale Ale Draught Style Can 355mL,"24773",5.0,355.0,1.4,true,pack,4,20.0,5.0,3.57
Sierra Nevada Pale Ale Draught Style Can 355mL,"24773",5.0,355.0,1.4,false,pack,4,21.95,5.49,3.92
